module,interface,method,req_count,avg_ms,min_ms,max_ms,p95_ms,error_count,error_rate
product,/api/product/search,GET,14,286,102,389,342,0,0.00%
product,/api/product/recommend,GET,8,184,176,221,210,0,0.00%
product,/api/product/detail,GET,6,158,92,231,224,1,16.67%
cart,/api/cart/add,POST,10,342,98,451,430,0,0.00%
cart,/api/cart/update,PUT,3,212,201,220,220,0,0.00%
cart,/api/cart/delete,DELETE,4,139,92,186,180,0,0.00%
cart,/api/cart/list,GET,9,198,156,245,235,0,0.00%
order,/api/order/create,POST,3,2844,104,8532,8532,2,66.67%
order,/api/order/list,GET,5,223,188,260,254,0,0.00%
order,/api/order/cancel,PUT,2,3920,0,7841,7841,1,50.00%
payment,/api/payment/create,POST,4,105,86,128,125,1,25.00%
payment,/api/payment/callback/ALIPAY,POST,1,128,128,128,128,0,0.00%
coupon,/api/coupon/receive,POST,4,167,103,231,230,0,0.00%
coupon,/api/coupon/list,GET,6,204,199,208,208,0,0.00%
coupon,/api/coupon/use,POST,2,234,234,234,234,0,0.00%
seckill,/api/seckill/list,GET,2,125,125,125,125,0,0.00%
seckill,/api/seckill/execute,POST,5,71,67,74,74,0,0.00%
seckill,/api/seckill/result,GET,1,110,110,110,110,0,0.00%
review,/api/review/add,POST,4,157,92,221,220,0,0.00%
review,/api/review/list,GET,6,152,149,156,156,0,0.00%
review,/api/review/like,POST,2,188,188,188,188,0,0.00%
review,/api/review/reply,POST,2,176,176,176,176,0,0.00%
