case_name,new_nickname,expected_result,expected_error_msg
修改昵称_正常,自动化测试用户A,success,
修改昵称_特殊字符,@#$%^&*(),fail,昵称包含非法字符
修改昵称_超长,这是一个超过20个字符的昵称用于测试前端长度限制,fail,昵称长度超出限制
修改昵称_空,,fail,昵称不能为空
修改昵称_前后空格,  昵称前后有空格  ,success,  （实际应去除前后空格存储）
修改昵称_中间空格,自动化 测试 用户,success,
修改昵称_纯数字,1234567890,success,
修改昵称_Emoji,😊自动化😎,success,
修改昵称_已存在相同昵称,自动化测试用户A,success,  （允许重名，取决于业务逻辑）
修改昵称_含SQL注入,' OR '1'='1,success,  （应为成功转义，不被攻击）
修改昵称_含换行符,测试\n换行,success,  （应正常过滤或转义）
修改昵称_含Tab,测试\t制表符,success,
修改昵称_首尾特殊符号_合法,#合法昵称#,success,
修改昵称_中文超长,这是一个超过二十个汉字的中文昵称用于测试超长情况,fail,昵称长度超出限制
修改昵称_空字符串但含空格,   ,fail,昵称不能为空
修改昵称_长数字串,123456789012345678901234567890,fail,昵称长度超出限制
修改昵称_敏感词,政治敏感词,fail,昵称包含敏感词
修改昵称_正常英文,JohnDoe,success,
修改昵称_混合大小写,AbCdEfG,success,
